filename,PQI,PNI,sample_id,Species_Display,Total_Ion_Count,Mean_Intensity,n_peaks,Mean_PPM_Error,Std_PPM_Error,Mean_Confidence,COL1A1_Corrected,COL1A2_Corrected,COL1A1_to_COL1A2_Ratio,COL3A1_Peaks,Ratio_QC,Fetal_Markers,Age_Category,Gelatin_Index,species,confidence,confidence_category,notes
SENS__J23_M3,1.0,,SENS__J23_M3.txt,Sheep/Goat,14271252.0,2344.931317778508,6086,-0.0044246323640512,1.0634717147359611,69.59565850497583,14862324.0,5126270.5,2.8992469281517628,2810.0,REVIEW,1,Young/Fetal,,Sheep/Goat,0.6,Low,"ɑ1 586: Ovis/Capra, ɑ2 757 ambiguous"
SENS__J24_M11,1.0,,SENS__J24_M11.txt,Sheep/Goat,41944893.0,2314.967327115183,18119,0.1734635753037011,1.0498647939944468,70.30723140296917,14655702.0,31964731.5,0.4584960145840737,7536.0,REVIEW,1,Young/Fetal,,Sheep/Goat,0.6,Low,"ɑ1 586: Ovis/Capra, ɑ2 757 ambiguous"
SENS__J24_M18,1.0,,SENS__J24_M18.txt,Sheep/Goat,20179489.0,2460.31321628871,8202,0.0366565996195715,0.9982121511427074,70.31199047617879,12994653.0,9676748.9,1.3428738447475888,3241.0,REVIEW,1,Young/Fetal,,Sheep/Goat,0.6,Low,"ɑ1 586: Ovis/Capra, ɑ2 757 ambiguous"
SENS__J24_M4,1.0,,SENS__J24_M4.txt,Bovidae,32075763.0,2508.466645812153,12787,0.0194837307548859,0.9607097106497524,71.05404485553527,12409509.0,8106451.600000001,1.5308188603753583,6869.0,REVIEW,1,Young/Fetal,,Bovidae,0.3,Low,Family-level only: Bovidae
SENS__J4_L15,1.0,,SENS__J4_L15.txt,Sheep,53520747.0,3374.9998108210366,15858,-0.0083620524926943,0.7837006794400385,71.70144592092821,18834228.0,45938009.0,0.409992257174228,4563.0,REVIEW,1,Young/Fetal,,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=17788.0:1)
SENS__J4_L5,,,SENS__J4_L5.txt,Sheep,30100954.0,2843.468165501606,10586,-0.0590102723036041,0.9429868003856232,71.19795313456176,18275568.0,18493233.2,0.9882300083686828,3954.0,REVIEW,1,Young/Fetal,,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=7.6:1)
SENS__J4_M1,1.0,,SENS__J4_M1.txt,Sheep/Goat,26660177.0,2293.9405437962487,11622,0.0156982003481057,0.8331721614827939,71.68770557150653,10045050.0,19424481.7,0.517133489332691,4036.0,REVIEW,1,Young/Fetal,,Sheep/Goat,0.6,Low,"ɑ1 586: Ovis/Capra, ɑ2 757 ambiguous"
SENS__J59_M12,,,SENS__J59_M12.txt,Bovidae,1032147.0,2782.067385444744,371,-0.5163130965860651,1.7608841767609096,67.86343105566688,231537.0,215528.3,1.0742765567213215,331.0,REVIEW,1,Young/Fetal,,Bovidae,0.4,Low,No COL3A1 or hydroxylation markers found; Diagnostic masses inconclusive - family level only
SENS__J59_M19,1.0,,SENS__J59_M19.txt,Goat,24453536.0,2420.4232406215974,10103,0.0957929318991491,0.9298376978612992,70.63290013316569,12628977.0,13409969.3,0.9417603215542036,4056.0,REVIEW,1,Young/Fetal,,Goat,0.9,High,ɑ2 757: Capra pattern detected (3077/3093 signal=892)
SENS__J59_M5,1.0,,SENS__J59_M5.txt,Sheep/Goat,24249759.0,2988.6318708405224,8114,0.0531408464495938,0.9767202576737024,70.95366027191982,30305835.0,12895808.9,2.350053047079505,2388.0,REVIEW,1,Young/Fetal,,Sheep/Goat,0.6,Low,"ɑ1 586: Ovis/Capra, ɑ2 757 ambiguous"
SENS__J603_M15,,,SENS__J603_M15.txt,Sheep,67958146.0,5920.214827075529,11479,-0.0637788262124408,0.9578080651207505,70.72418794321459,37068456.0,36378806.1,1.0189574638074776,5143.0,REVIEW,1,Young/Fetal,,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=250.9:1)
SENS__J603_M22,,,SENS__J603_M22.txt,Sheep,39109673.0,3278.262615255658,11930,0.0693325675858835,0.9022713111338588,70.97341958978332,19212255.0,10966498.4,1.7519042359045072,5602.0,REVIEW,1,Young/Fetal,,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=12.2:1)
SENS__J603_M8,,,SENS__J603_M8.txt,Sheep,25116759.0,5044.538863225547,4979,-0.0345124783539743,1.3517501206461726,67.10569085310759,33521295.0,9522815.9,3.5201032291299468,1636.0,REVIEW,1,Young/Fetal,,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=69.4:1)
SENS__J8_L16,1.0,,SENS__J8_L16.txt,Sheep,20361635.0,2427.7614164778824,8387,0.2258684936260011,1.1428141476023286,69.35797634683912,18183138.0,7475991.9,2.432204079835881,3839.0,REVIEW,1,Young/Fetal,,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=1394.0:1)
SENS__J8_L6,1.0,,SENS__J8_L6.txt,Sheep,25908741.0,3047.011760555098,8503,0.0516157279207016,1.061708672565829,70.1787274196685,17557164.0,11133726.5,1.5769350899718977,4265.0,REVIEW,1,Young/Fetal,,Sheep,0.9,High,ɑ1 586: Ovis/Capra + ɑ2 757: Ovis pattern (ratio=33.4:1)
SENS__J8_M2,1.0,,SENS__J8_M2.txt,Sheep/Goat,13346593.0,2408.2629014796103,5542,-0.1340392452058631,1.2637689594386197,67.85513385183559,17530347.0,3187098.2,5.500410059533151,2292.0,REVIEW,1,Young/Fetal,,Sheep/Goat,0.6,Low,"ɑ1 586: Ovis/Capra, ɑ2 757 ambiguous"
V100_K11,,,V100_K11.txt,Sheep,19281163.0,3267.4399254363666,5901,0.0848276864805936,1.1976589626888174,67.97556724773408,26038653.0,9234612.4,2.819680119979913,948.0,REVIEW,1,Young/Fetal,,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=31.9:1)
V100_K16,,,V100_K16.txt,Sheep,9370971.0,3099.8911677141914,3023,-0.0854872387899769,1.6876554704863929,62.31342144873712,11593227.0,3920675.2,2.9569465483904405,739.0,REVIEW,1,Young/Fetal,,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=35.8:1)
V100_K6,,,V100_K6.txt,Sheep,23801423.0,4053.3758514986375,5872,0.0068002939505223,1.144973196708456,68.6069962117864,8505573.0,4528469.4,1.8782445565382424,3966.0,PASS,1,Young/Fetal,,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=26.0:1)
V101_K12,1.0,,V101_K12.txt,Goat,18499630.0,2922.5323854660346,6330,-0.0209512486394567,1.0829275508516658,69.51003078326295,10969752.0,8021579.8,1.3675301216850078,3257.0,REVIEW,1,Young/Fetal,,Goat,0.85,High,ɑ2 757: Capra pattern dominant (ratio=3.8:1)
V101_K17,1.0,,V101_K17.txt,Sheep,13311366.0,3663.00660429279,3634,-0.0118227194910811,1.4589207334074406,65.15363694904262,16593552.0,3612638.9,4.59319418832588,1181.0,REVIEW,1,Young/Fetal,,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=106.7:1)
V101_K7,1.0,,V101_K7.txt,Sheep,23148350.0,3186.283551273228,7265,0.059071558904587,1.0494435711856325,69.1287056540486,27423477.0,8559703.1,3.203788341677412,2427.0,REVIEW,1,Young/Fetal,,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=65.5:1)
V103_I12,,,V103_I12.txt,Bovidae,14531336.0,3182.508979413053,4566,-0.3248795795069319,1.6630259048606957,66.6552918307263,17205309.0,2830685.0,6.078143276274117,2501.0,REVIEW,1,Young/Fetal,,Bovidae,0.4,Low,No COL3A1 or hydroxylation markers found; Diagnostic masses inconclusive - family level only
V103_I19,1.0,,V103_I19.txt,Bovidae,50437930.0,4028.910456106718,12519,0.1900373673957669,0.9905282075733096,70.71111665026058,17360586.0,29392886.9,0.5906390229399344,3470.0,REVIEW,1,Young/Fetal,,Bovidae,0.5,Low,COL3A1 and hydroxylation patterns ambiguous; Diagnostic masses inconclusive - family level only
V103_I5,0.8091668381636099,,V103_I5.txt,Goat,45720669.0,4897.243894601543,9336,-0.2432191898705547,1.291505329674506,69.3815100155892,24880845.0,11990217.2,2.0750954369700656,5210.0,PASS,1,Young/Fetal,,Goat,0.75,Medium,Hydroxylation pattern suggests Capra (score=2.19)
V104_I13,1.0,,V104_I13.txt,Bovidae,53429884.0,19507.077035414382,2739,-0.11492768565476,1.276791048515398,69.93161700195755,4927482.0,3169554.7,1.5546291092562623,1370.0,REVIEW,1,Young/Fetal,,Bovidae,0.4,Low,No COL3A1 or hydroxylation markers found; Diagnostic masses inconclusive - family level only
V104_I20,,,V104_I20.txt,Sheep,11929756.0,2616.174561403509,4560,0.1195654278515058,1.440405862974251,65.61931644951082,3354312.0,9244414.4,0.362847429254145,1109.0,REVIEW,1,Young/Fetal,,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=15.0:1)
V104_I6,,,V104_I6.txt,Sheep,13987566.0,2580.731734317343,5420,0.0990718963310813,1.2678486710099557,67.39362707547804,8169051.0,10531093.3,0.7757077795521952,1343.0,REVIEW,1,Young/Fetal,,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=48.1:1)
V105_K13,,,V105_K13.txt,Goat,6947129.0,2756.7972222222224,2520,-0.0371529385494494,1.7701317798520526,61.11907594066887,5084868.0,3037446.1,1.6740603232432667,1294.0,REVIEW,1,Young/Fetal,,Goat,0.85,High,ɑ2 757: Capra pattern dominant (ratio=3.4:1)
V105_K18,,,V105_K18.txt,Goat,29595475.0,2602.486370031657,11372,-0.1094677323693187,0.853650206078357,70.78698158593677,16156911.0,18028271.3,0.896198572294616,3869.0,REVIEW,1,Young/Fetal,,Goat,0.85,High,ɑ2 757: Capra pattern dominant (ratio=3.4:1)
V105_K8,1.0,,V105_K8.txt,Bovidae,20425145.0,5438.004526091587,3756,-0.4776360651703411,1.2668718307777656,68.69290786177648,3050301.0,764613.2000000001,3.989338661691951,3162.0,REVIEW,1,Young/Fetal,,Bovidae,0.4,Low,No COL3A1 or hydroxylation markers found; Diagnostic masses inconclusive - family level only
