sample_id,species,confidence,confidence_category,notes,evidence_Cervus,evidence_Bos,evidence_Ovis,evidence_Capra
20251217-0922_TTF_013400_ONJ_TR_MC_2025_12_17_2101005550.mzXML,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=7.4:1),0.9744793447380229,0.47434822603699484,0.47434822603699484,0.47434822603699484
63-146_K23.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=58.0:1),0.9847902811756917,0.47902763009224186,0.47902763009224186,0.47902763009224186
63-146_L19.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=50.9:1),0.9894068727791794,0.48937314280500266,0.48937314280500266,0.48937314280500266
63-146_L9.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=26.1:1),0.9884060077709775,0.48835519332667576,0.48835519332667576,0.48835519332667576
63-6_K22.txt,Bovidae,0.4,Low,No COL3A1 or hydroxylation markers found; Diagnostic masses inconclusive - family level only,0.47501262308981107,0.47501262308981107,0.47501262308981107,0.47501262308981107
63-6_L18.txt,Bovidae,0.4,Low,No COL3A1 or hydroxylation markers found; Diagnostic masses inconclusive - family level only,0.464945778113934,0.464945778113934,0.464945778113934,0.464945778113934
63-6_L8.txt,Sheep,0.9,High,ɑ1 586: Ovis/Capra + ɑ2 757: Ovis pattern (ratio=20.9:1),0.9899510631822037,0.4897211399599376,0.4897211399599376,0.4897211399599376
65-129_K24.txt,Sheep,0.9,High,ɑ1 586: Ovis/Capra + ɑ2 757: Ovis pattern (ratio=56.7:1),0.9662491700649616,0.4661526217416894,0.4661526217416894,0.4661526217416894
65-129_L10.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=18.5:1),0.9865941726867724,0.48655923555698,0.48655923555698,0.48655923555698
65-129_L20.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=22.7:1),0.9891421568870178,0.48911286423417855,0.48911286423417855,0.48911286423417855
65-130_L1.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=43.4:1),0.9888188060106073,0.48557574577207246,0.48557574577207246,0.48557574577207246
65-130_L11.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=31.4:1),0.9928024214281477,0.4927959263285154,0.4927959263285154,0.4927959263285154
65-130_L21.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=29.3:1),0.9889508303714785,0.48894190710991986,0.48894190710991986,0.48894190710991986
67-149_L14.txt,Sheep,0.9,High,ɑ1 586: Ovis/Capra + ɑ2 757: Ovis pattern (ratio=174.2:1),0.985473989941761,0.48548543919530013,0.48548543919530013,0.48548543919530013
67-149_L24.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=49.4:1),0.9857208484419437,0.4854989896899349,0.4854989896899349,0.4854989896899349
67-149_L4.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=28.7:1),0.9899409404009272,0.48942086609223906,0.48942086609223906,0.48942086609223906
67-77_L12.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=21.8:1),0.9904665505195271,0.4904046337503316,0.4904046337503316,0.4904046337503316
67-77_L2.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=72.3:1),0.9905013676392946,0.49013753391178383,0.49013753391178383,0.49013753391178383
67-77_L22.txt,Bovidae,0.4,Low,No COL3A1 or hydroxylation markers found; Diagnostic masses inconclusive - family level only,0.489939903807441,0.489939903807441,0.489939903807441,0.489939903807441
67-86_L13.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=14.4:1),0.9936363757636877,0.49362936858092477,0.49362936858092477,0.49362936858092477
67-86_L23.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=40.5:1),0.992969965256546,0.4928972402720388,0.4928972402720388,0.4928972402720388
67-86_L3.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=7.4:1),0.9889837993882706,0.48894415365260996,0.48894415365260996,0.48894415365260996
EXB__IR3_I15.txt,Bovidae,0.4,Low,No COL3A1 or hydroxylation markers found; Diagnostic masses inconclusive - family level only,0.48067175904471304,0.48067175904471304,0.48067175904471304,0.48067175904471304
EXB__IR3_I22.txt,Bovidae,0.5,Low,COL3A1 and hydroxylation patterns ambiguous; Diagnostic masses inconclusive - family level only,0.4336215318211243,0.4336215318211243,0.4336215318211243,0.4336215318211243
EXB__IR3_I8.txt,Bovidae,0.4,Low,No COL3A1 or hydroxylation markers found; Diagnostic masses inconclusive - family level only,0.49015941370506166,0.49015941370506166,0.49015941370506166,0.49015941370506166
EXB__IR4_I16.txt,Bovidae,0.4,Low,No COL3A1 or hydroxylation markers found; Diagnostic masses inconclusive - family level only,0.43980837244299575,0.43980837244299575,0.43980837244299575,0.43980837244299575
EXB__IR4_I23.txt,Sheep,0.75,Medium,Hydroxylation pattern suggests Ovis (score=1.40),0.46670505658689376,0.46670505658689376,0.46670505658689376,0.46670505658689376
EXB__IR4_I9.txt,Bovidae,0.4,Low,No COL3A1 or hydroxylation markers found; Diagnostic masses inconclusive - family level only,0.48607961473479655,0.48607961473479655,0.48607961473479655,0.48607961473479655
EXB__IR5_M16.txt,Bovidae,0.4,Low,No COL3A1 or hydroxylation markers found; Diagnostic masses inconclusive - family level only,0.4887699679747074,0.4887699679747074,0.4887699679747074,0.4887699679747074
EXB__IR5_M23.txt,Bovidae,0.4,Low,No COL3A1 or hydroxylation markers found; Diagnostic masses inconclusive - family level only,0.4697599809615123,0.4697599809615123,0.4697599809615123,0.4697599809615123
EXB__IR5_M9.txt,Bovidae,0.5,Low,COL3A1 and hydroxylation patterns ambiguous; Diagnostic masses inconclusive - family level only,0.4848444036892199,0.4848444036892199,0.4848444036892199,0.4848444036892199
J58_K21.txt,Sheep,0.9,High,ɑ1 586: Ovis/Capra + ɑ2 757: Ovis pattern (ratio=14358.0:1),0.9915704760036139,0.4915711024008074,0.4915711024008074,0.4915711024008074
J58_L17.txt,Goat,0.9,High,ɑ2 757: Capra pattern detected (3077/3093 signal=1936),0.9908983800783187,0.48882948032393675,0.48882948032393675,0.48882948032393675
J58_L7.txt,Goat,0.9,High,ɑ2 757: Capra pattern detected (3077/3093 signal=2577),0.9933545609054237,0.4933362996821777,0.4933362996821777,0.4933362996821777
SENS__180_M14.txt,Sheep/Goat,0.6,Low,"ɑ1 586: Ovis/Capra, ɑ2 757 ambiguous",0.9912970816652911,0.49127657854381684,0.49127657854381684,0.49127657854381684
SENS__180_M21.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=4.0:1),0.49024945832827416,0.49024945832827416,0.49024945832827416,0.49024945832827416
SENS__180_M7.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=2966.0:1),0.4924138777103503,0.4924138777103503,0.4924138777103503,0.4924138777103503
SENS__J119_M13.txt,Bovidae,0.4,Low,No COL3A1 or hydroxylation markers found; Diagnostic masses inconclusive - family level only,0.47351930414536025,0.47351930414536025,0.47351930414536025,0.47351930414536025
SENS__J119_M20.txt,Calf,0.8,High,ɑ1 586: Bos dominant (ratio=3.7:1),0.48514152978350067,0.48514152978350067,0.48514152978350067,0.48514152978350067
SENS__J119_M6.txt,Bovidae,0.4,Low,No COL3A1 or hydroxylation markers found; Diagnostic masses inconclusive - family level only,0.9657817104766242,0.46568975710614413,0.46568975710614413,0.46568975710614413
SENS__J23_M10.txt,Sheep/Goat,0.6,Low,"ɑ1 586: Ovis/Capra, ɑ2 757 ambiguous",0.49188778257907917,0.49188778257907917,0.49188778257907917,0.49188778257907917
SENS__J23_M17.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=2430.0:1),0.49120326316857454,0.49120326316857454,0.49120326316857454,0.49120326316857454
SENS__J23_M3.txt,Sheep/Goat,0.6,Low,"ɑ1 586: Ovis/Capra, ɑ2 757 ambiguous",0.48915247853172517,0.48915247853172517,0.48915247853172517,0.48915247853172517
SENS__J24_M11.txt,Sheep/Goat,0.6,Low,"ɑ1 586: Ovis/Capra, ɑ2 757 ambiguous",0.9865648077801947,0.485707130269181,0.485707130269181,0.485707130269181
SENS__J24_M18.txt,Sheep/Goat,0.6,Low,"ɑ1 586: Ovis/Capra, ɑ2 757 ambiguous",0.4889396425114547,0.4889396425114547,0.4889396425114547,0.4889396425114547
SENS__J24_M4.txt,Bovidae,0.3,Low,Family-level only: Bovidae,0.48958692614239996,0.48958692614239996,0.48958692614239996,0.48958692614239996
SENS__J4_L15.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=17788.0:1),0.49252195511037644,0.49252195511037644,0.49252195511037644,0.49252195511037644
SENS__J4_L5.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=7.6:1),0.49262611696446434,0.49262611696446434,0.49262611696446434,0.49262611696446434
SENS__J4_M1.txt,Sheep/Goat,0.6,Low,"ɑ1 586: Ovis/Capra, ɑ2 757 ambiguous",0.49338875614739175,0.49338875614739175,0.49338875614739175,0.49338875614739175
