File_ID,Species,Run_Plate,UMAP1,UMAP2,UMAP3,Cluster,is_outlier,n_peaks,Cluster_Label,peak_id,mz_observed,intensity,snr,mz_theoretical,ppm_error,ptm_count,predicted_intensity,intensity_ratio,confidence_score,cluster_id,Confidence_Score,PPM_Error,mz,Centroid_F+16,Int_F+16,extraction_batch,spot,plate,century,period,PQI,PNI,COL3A1_Peaks,Fibre_Load,Dust_Load,Fetal_Markers,Gelatin_Correlation,Structure_Index,Predicted_d13C,Predicted_d15N,COL1A1_Corrected,COL1A2_Corrected,COL1A1_to_COL1A2_Ratio,Age_Confidence,Ratio_QC,Gelatin_Index,PNI_NonNP,PNI_NP,Total_Ion_Count,Hydroxylation_Ratio,Starch_Plant_Source,Starch_Confidence,Starch_Signal,eggs_signal,eggs_num_matches,milk_signal,milk_num_matches,starch_signal,starch_num_matches,Cluster_ID,Centroid_A,Int_A,Centroid_B1,Int_B1,Centroid_E,Int_E,Centroid_G,Int_G,Centroid_B2,Int_B2,Centroid_F-16,Int_F-16,Centroid_D,Int_D,Centroid_F,Int_F,Centroid_C,Int_C,filename,marker_id_helical,species,gene,ptm_type,match_type,isotope_cluster,notes,Extracted_SampleID,SampleType,Gene,Marker_ID,sample_id,collection,codex,folium,Species_Predicted,Age_Category,Gelatin_Score,Age_Class,Disulfide_Status,Hydroxylation_Status,Starch_Detected,eggs_detected,milk_detected,starch_detected,Spectrum_Image,Quality_Image
ET 72.txt,Unknown,,-0.7450413,-0.7996486,-2.1331546,4,False,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 72.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 72.txt_Quality.png
ET 74.txt,Unknown,,-0.54919016,1.0754666,-0.9326223,3,False,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 74.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 74.txt_Quality.png
ET 75.txt,Unknown,,-0.2992136,-1.0045534,-2.0810976,4,False,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 75.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 75.txt_Quality.png
ET 77.txt,Unknown,,-1.0059074,-0.96272594,-2.111074,4,False,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 77.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 77.txt_Quality.png
ET 78.txt,Unknown,,-1.2875923,-1.1536239,-2.0626283,4,False,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 78.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 78.txt_Quality.png
ET 8.txt,Unknown,,2.3526976,1.25967,0.7068536,0,False,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 8.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 8.txt_Quality.png
ET 80.txt,Unknown,,-0.139171,-0.80543363,-1.7520448,4,False,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 80.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 80.txt_Quality.png
ET 81.txt,Unknown,,-0.66088015,1.0763777,-0.9583839,3,False,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 81.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 81.txt_Quality.png
ET 82.txt,Unknown,,-0.6495921,-0.55221295,-2.1556265,4,False,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 82.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 82.txt_Quality.png
ET 83.txt,Unknown,,2.159224,0.81008554,0.29814386,0,False,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 83.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 83.txt_Quality.png
ET 84.txt,Unknown,,-0.24421945,-0.7296306,-2.5197535,4,False,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/ET 84.txt_Spectrum.png,pipeline_output/report/2026_01_16/ET 84.txt_Quality.png
EXB IR1.txt,Unknown,,2.6640131,0.5793366,-0.064987056,0,False,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/EXB IR1.txt_Spectrum.png,pipeline_output/report/2026_01_16/EXB IR1.txt_Quality.png
EXB IR2.txt,Unknown,,2.6131651,0.5058651,-0.18765607,0,False,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/EXB IR2.txt_Spectrum.png,pipeline_output/report/2026_01_16/EXB IR2.txt_Quality.png
EXB IR3.txt,Unknown,,2.580395,0.6236842,-0.22605304,0,False,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipeline_output/report/2026_01_16/EXB IR3.txt_Spectrum.png,pipeline_output/report/2026_01_16/EXB IR3.txt_Quality.png
